dataset,Ts,Te,TP,FN,FP,TPR,FP/TP,ratio
lawler,0.7,0.3,43,17,75,0.7170000000000001,1.744,0.31851851851851853
lawler,0.7,0.35,43,17,74,0.7170000000000001,1.721,0.3208955223880597
lawler,0.7,0.4,43,17,76,0.7170000000000001,1.767,0.3161764705882353
lawler,0.7,0.45,42,18,78,0.7,1.857,0.30434782608695654
lawler,0.75,0.1,40,20,60,0.667,1.5,0.3333333333333333
lawler,0.75,0.15,40,20,64,0.667,1.6,0.3225806451612903
lawler,0.75,0.2,40,20,66,0.667,1.65,0.31746031746031744
lawler,0.75,0.25,41,19,67,0.6829999999999999,1.634,0.3228346456692913
lawler,0.75,0.3,41,19,69,0.6829999999999999,1.683,0.3178294573643411
lawler,0.75,0.35,41,19,69,0.6829999999999999,1.683,0.3178294573643411
lawler,0.75,0.4,41,19,69,0.6829999999999999,1.683,0.3178294573643411
lawler,0.75,0.45,40,20,67,0.667,1.675,0.31496062992125984
lawler,0.8,0.1,39,21,42,0.65,1.077,0.38235294117647056
lawler,0.8,0.15,39,21,46,0.65,1.179,0.36792452830188677
lawler,0.8,0.2,39,21,47,0.65,1.205,0.3644859813084112
lawler,0.8,0.25,40,20,47,0.667,1.175,0.37383177570093457
lawler,0.8,0.3,40,20,48,0.667,1.2,0.37037037037037035
lawler,0.8,0.35,40,20,48,0.667,1.2,0.37037037037037035
lawler,0.8,0.4,40,20,48,0.667,1.2,0.37037037037037035
lawler,0.8,0.45,39,21,49,0.65,1.256,0.3577981651376147
lawler,0.85,0.1,35,25,35,0.583,1.0,0.3684210526315789
lawler,0.85,0.15,34,26,39,0.5670000000000001,1.147,0.3434343434343434
lawler,0.85,0.2,33,27,41,0.55,1.242,0.32673267326732675
lawler,0.85,0.25,34,26,41,0.5670000000000001,1.206,0.33663366336633666
lawler,0.85,0.3,34,26,42,0.5670000000000001,1.235,0.3333333333333333
lawler,0.85,0.35,34,26,42,0.5670000000000001,1.235,0.3333333333333333
lawler,0.85,0.4,34,26,42,0.5670000000000001,1.235,0.3333333333333333
lawler,0.85,0.45,34,26,44,0.5670000000000001,1.294,0.3269230769230769
shaurya,0.5,0.1,32,6,63,0.8420000000000001,1.969,0.31683168316831684
shaurya,0.5,0.15,32,6,65,0.8420000000000001,2.031,0.3106796116504854
shaurya,0.5,0.2,33,5,66,0.868,2.0,0.3173076923076923
shaurya,0.5,0.25,35,3,68,0.921,1.943,0.330188679245283
shaurya,0.5,0.3,34,4,71,0.895,2.088,0.3119266055045872
shaurya,0.5,0.35,34,4,71,0.895,2.088,0.3119266055045872
shaurya,0.5,0.4,34,4,70,0.895,2.059,0.3148148148148148
shaurya,0.5,0.45,34,4,70,0.895,2.059,0.3148148148148148
shaurya,0.55,0.1,32,6,60,0.8420000000000001,1.875,0.32653061224489793
shaurya,0.55,0.15,32,6,62,0.8420000000000001,1.938,0.32
shaurya,0.55,0.2,33,5,65,0.868,1.97,0.32038834951456313
shaurya,0.55,0.25,35,3,68,0.921,1.943,0.330188679245283
shaurya,0.55,0.3,34,4,70,0.895,2.059,0.3148148148148148
shaurya,0.55,0.35,34,4,69,0.895,2.029,0.3177570093457944
shaurya,0.55,0.4,34,4,69,0.895,2.029,0.3177570093457944
shaurya,0.55,0.45,34,4,71,0.895,2.088,0.3119266055045872
shaurya,0.6,0.1,31,7,60,0.816,1.935,0.3163265306122449
shaurya,0.6,0.15,31,7,61,0.816,1.968,0.31313131313131315
shaurya,0.6,0.2,32,6,64,0.8420000000000001,2.0,0.3137254901960784
shaurya,0.6,0.25,34,4,67,0.895,1.971,0.3238095238095238
shaurya,0.6,0.3,34,4,68,0.895,2.0,0.32075471698113206
shaurya,0.6,0.35,34,4,69,0.895,2.029,0.3177570093457944
shaurya,0.6,0.4,34,4,68,0.895,2.0,0.32075471698113206
shaurya,0.6,0.45,34,4,69,0.895,2.029,0.3177570093457944
shaurya,0.65,0.1,31,7,55,0.816,1.774,0.3333333333333333
shaurya,0.65,0.15,30,8,57,0.789,1.9,0.3157894736842105
shaurya,0.65,0.2,31,7,59,0.816,1.903,0.31958762886597936
shaurya,0.65,0.25,33,5,61,0.868,1.848,0.3333333333333333
shaurya,0.65,0.3,33,5,62,0.868,1.879,0.33
shaurya,0.65,0.35,33,5,64,0.868,1.939,0.3235294117647059
shaurya,0.65,0.4,32,6,63,0.8420000000000001,1.969,0.31683168316831684
shaurya,0.65,0.45,32,6,64,0.8420000000000001,2.0,0.3137254901960784
shaurya,0.7,0.1,29,9,49,0.763,1.69,0.3333333333333333
shaurya,0.7,0.15,28,10,52,0.737,1.857,0.3111111111111111
shaurya,0.7,0.2,29,9,55,0.763,1.897,0.3118279569892473
shaurya,0.7,0.25,31,7,56,0.816,1.806,0.32978723404255317
shaurya,0.7,0.3,31,7,57,0.816,1.839,0.3263157894736842
shaurya,0.7,0.35,31,7,58,0.816,1.871,0.3229166666666667
shaurya,0.7,0.4,30,8,58,0.789,1.933,0.3125
shaurya,0.7,0.45,30,8,59,0.789,1.967,0.30927835051546393
shaurya,0.75,0.1,28,10,48,0.737,1.714,0.32558139534883723
shaurya,0.75,0.15,27,11,52,0.711,1.926,0.3
shaurya,0.75,0.2,28,10,54,0.737,1.929,0.30434782608695654
shaurya,0.75,0.25,30,8,56,0.789,1.867,0.3191489361702128
shaurya,0.75,0.3,29,9,58,0.763,2.0,0.3020833333333333
shaurya,0.75,0.35,29,9,57,0.763,1.966,0.30526315789473685
shaurya,0.75,0.4,29,9,56,0.763,1.931,0.30851063829787234
shaurya,0.75,0.45,29,9,58,0.763,2.0,0.3020833333333333
shaurya,0.8,0.1,28,10,42,0.737,1.5,0.35
shaurya,0.8,0.15,27,11,47,0.711,1.741,0.3176470588235294
shaurya,0.8,0.2,28,10,48,0.737,1.714,0.32558139534883723
shaurya,0.8,0.25,30,8,51,0.789,1.7,0.33707865168539325
shaurya,0.8,0.3,29,9,51,0.763,1.759,0.3258426966292135
shaurya,0.8,0.35,29,9,51,0.763,1.759,0.3258426966292135
shaurya,0.8,0.4,29,9,51,0.763,1.759,0.3258426966292135
shaurya,0.8,0.45,29,9,52,0.763,1.793,0.32222222222222224
shaurya,0.85,0.1,28,10,34,0.737,1.214,0.3888888888888889
shaurya,0.85,0.15,27,11,38,0.711,1.4069999999999998,0.35526315789473684
shaurya,0.85,0.2,28,10,39,0.737,1.393,0.36363636363636365
shaurya,0.85,0.25,30,8,41,0.789,1.367,0.379746835443038
shaurya,0.85,0.3,29,9,42,0.763,1.4480000000000002,0.3625
shaurya,0.85,0.35,29,9,42,0.763,1.4480000000000002,0.3625
shaurya,0.85,0.4,29,9,42,0.763,1.4480000000000002,0.3625
shaurya,0.85,0.45,29,9,43,0.763,1.483,0.35802469135802467
tianyi,0.5,0.1,16,4,55,0.8,3.438,0.21333333333333335
tianyi,0.5,0.15,16,4,62,0.8,3.875,0.1951219512195122
tianyi,0.5,0.2,16,4,62,0.8,3.875,0.1951219512195122
tianyi,0.5,0.25,16,4,60,0.8,3.75,0.2
tianyi,0.5,0.3,16,4,59,0.8,3.688,0.20253164556962025
tianyi,0.5,0.35,16,4,59,0.8,3.688,0.20253164556962025
tianyi,0.5,0.4,16,4,59,0.8,3.688,0.20253164556962025
tianyi,0.5,0.45,16,4,57,0.8,3.562,0.2077922077922078
tianyi,0.55,0.1,16,4,47,0.8,2.938,0.23880597014925373
tianyi,0.55,0.15,16,4,54,0.8,3.375,0.21621621621621623
tianyi,0.55,0.2,16,4,54,0.8,3.375,0.21621621621621623
tianyi,0.55,0.25,16,4,52,0.8,3.25,0.2222222222222222
tianyi,0.55,0.3,16,4,51,0.8,3.188,0.22535211267605634
tianyi,0.55,0.35,16,4,51,0.8,3.188,0.22535211267605634
tianyi,0.55,0.4,16,4,50,0.8,3.125,0.22857142857142856
tianyi,0.55,0.45,16,4,50,0.8,3.125,0.22857142857142856
tianyi,0.6,0.1,16,4,42,0.8,2.625,0.25806451612903225
tianyi,0.6,0.15,16,4,48,0.8,3.0,0.23529411764705882
tianyi,0.6,0.2,16,4,47,0.8,2.938,0.23880597014925373
tianyi,0.6,0.25,16,4,47,0.8,2.938,0.23880597014925373
tianyi,0.6,0.3,16,4,47,0.8,2.938,0.23880597014925373
tianyi,0.6,0.35,16,4,47,0.8,2.938,0.23880597014925373
tianyi,0.6,0.4,16,4,45,0.8,2.812,0.24615384615384617
tianyi,0.6,0.45,16,4,44,0.8,2.75,0.25
tianyi,0.65,0.1,16,4,41,0.8,2.562,0.26229508196721313
tianyi,0.65,0.15,16,4,48,0.8,3.0,0.23529411764705882
tianyi,0.65,0.2,16,4,47,0.8,2.938,0.23880597014925373
tianyi,0.65,0.25,16,4,47,0.8,2.938,0.23880597014925373
tianyi,0.65,0.3,16,4,46,0.8,2.875,0.24242424242424243
tianyi,0.65,0.35,16,4,46,0.8,2.875,0.24242424242424243
tianyi,0.65,0.4,16,4,45,0.8,2.812,0.24615384615384617
tianyi,0.65,0.45,16,4,44,0.8,2.75,0.25
tianyi,0.7,0.1,15,5,34,0.75,2.267,0.2777777777777778
tianyi,0.7,0.15,15,5,39,0.75,2.6,0.2542372881355932
tianyi,0.7,0.2,15,5,39,0.75,2.6,0.2542372881355932
tianyi,0.7,0.25,15,5,39,0.75,2.6,0.2542372881355932
tianyi,0.7,0.3,15,5,38,0.75,2.533,0.25862068965517243
tianyi,0.7,0.35,15,5,38,0.75,2.533,0.25862068965517243
tianyi,0.7,0.4,15,5,37,0.75,2.467,0.2631578947368421
tianyi,0.7,0.45,15,5,38,0.75,2.533,0.25862068965517243
tianyi,0.75,0.1,13,7,26,0.65,2.0,0.2826086956521739
tianyi,0.75,0.15,13,7,30,0.65,2.3080000000000003,0.26
tianyi,0.75,0.2,13,7,30,0.65,2.3080000000000003,0.26
tianyi,0.75,0.25,13,7,30,0.65,2.3080000000000003,0.26
tianyi,0.75,0.3,13,7,30,0.65,2.3080000000000003,0.26
tianyi,0.75,0.35,13,7,30,0.65,2.3080000000000003,0.26
tianyi,0.75,0.4,13,7,30,0.65,2.3080000000000003,0.26
tianyi,0.75,0.45,13,7,30,0.65,2.3080000000000003,0.26
tianyi,0.8,0.1,12,8,23,0.6,1.917,0.27906976744186046
tianyi,0.8,0.15,12,8,26,0.6,2.167,0.2608695652173913
tianyi,0.8,0.2,12,8,26,0.6,2.167,0.2608695652173913
tianyi,0.8,0.25,12,8,26,0.6,2.167,0.2608695652173913
tianyi,0.8,0.3,12,8,26,0.6,2.167,0.2608695652173913
tianyi,0.8,0.35,12,8,26,0.6,2.167,0.2608695652173913
tianyi,0.8,0.4,12,8,27,0.6,2.25,0.2553191489361702
tianyi,0.8,0.45,12,8,28,0.6,2.333,0.25
tianyi,0.85,0.1,12,8,17,0.6,1.4169999999999998,0.32432432432432434
tianyi,0.85,0.15,12,8,19,0.6,1.5830000000000002,0.3076923076923077
tianyi,0.85,0.2,12,8,19,0.6,1.5830000000000002,0.3076923076923077
tianyi,0.85,0.25,12,8,19,0.6,1.5830000000000002,0.3076923076923077
tianyi,0.85,0.3,12,8,19,0.6,1.5830000000000002,0.3076923076923077
tianyi,0.85,0.35,12,8,19,0.6,1.5830000000000002,0.3076923076923077
tianyi,0.85,0.4,12,8,20,0.6,1.6669999999999998,0.3
tianyi,0.85,0.45,12,8,21,0.6,1.75,0.2926829268292683
james,0.5,0.1,26,0,67,1.0,2.577,0.27956989247311825
james,0.5,0.15,26,0,73,1.0,2.8080000000000003,0.26262626262626265
james,0.5,0.2,26,0,77,1.0,2.962,0.2524271844660194
james,0.5,0.25,26,0,80,1.0,3.077,0.24528301886792453
james,0.5,0.3,26,0,81,1.0,3.115,0.24299065420560748
james,0.5,0.35,26,0,84,1.0,3.2310000000000003,0.23636363636363636
james,0.5,0.4,26,0,85,1.0,3.269,0.23423423423423423
james,0.5,0.45,26,0,84,1.0,3.2310000000000003,0.23636363636363636
james,0.55,0.1,26,0,63,1.0,2.423,0.29213483146067415
james,0.55,0.15,26,0,69,1.0,2.654,0.2736842105263158
james,0.55,0.2,26,0,73,1.0,2.8080000000000003,0.26262626262626265
james,0.55,0.25,26,0,76,1.0,2.923,0.2549019607843137
james,0.55,0.3,26,0,77,1.0,2.962,0.2524271844660194
james,0.55,0.35,26,0,81,1.0,3.115,0.24299065420560748
james,0.55,0.4,26,0,80,1.0,3.077,0.24528301886792453
james,0.55,0.45,26,0,79,1.0,3.0380000000000003,0.24761904761904763
james,0.6,0.1,26,0,60,1.0,2.3080000000000003,0.3023255813953488
james,0.6,0.15,26,0,65,1.0,2.5,0.2857142857142857
james,0.6,0.2,26,0,69,1.0,2.654,0.2736842105263158
james,0.6,0.25,26,0,73,1.0,2.8080000000000003,0.26262626262626265
james,0.6,0.3,26,0,75,1.0,2.885,0.25742574257425743
james,0.6,0.35,26,0,77,1.0,2.962,0.2524271844660194
james,0.6,0.4,26,0,78,1.0,3.0,0.25
james,0.6,0.45,26,0,78,1.0,3.0,0.25
james,0.65,0.1,26,0,55,1.0,2.115,0.32098765432098764
james,0.65,0.15,26,0,62,1.0,2.385,0.29545454545454547
james,0.65,0.2,26,0,65,1.0,2.5,0.2857142857142857
james,0.65,0.25,26,0,70,1.0,2.692,0.2708333333333333
james,0.65,0.3,26,0,72,1.0,2.769,0.2653061224489796
james,0.65,0.35,26,0,73,1.0,2.8080000000000003,0.26262626262626265
